ID,year,age,sex,race,HH_income,married,education,n_child,age_youngest,region,treatment,pair_id
20090112080948,2009,52,female,white,150000,married,Bachelors,2,6,West,TRUE,107
20090112080976,2009,38,female,white,15000,not married,Did not graduate from HS,1,2,South,TRUE,108
20090112080981,2009,29,male,white,100000,married,Bachelors,1,0,Northeast,TRUE,109
20090112080988,2009,28,male,white,35000,not married,Some college,1,9,Midwest,TRUE,110
20090112080994,2009,37,female,asian,150000,married,Doctoral,2,2,Midwest,TRUE,111
20090112081007,2009,50,female,white,150000,married,Bachelors,2,14,Northeast,TRUE,112
20090112081011,2009,48,male,white,60000,married,HS,1,16,Midwest,TRUE,113
20090112081020,2009,48,female,white,60000,married,Some college,1,0,South,TRUE,114
20090112081027,2009,54,male,white,150000,married,Doctoral,2,13,Northeast,TRUE,115
20090112081044,2009,15,male,white,75000,not married,Did not graduate from HS,2,14,Midwest,TRUE,116
20090112081055,2009,28,male,white,25000,not married,Did not graduate from HS,2,0,West,TRUE,117
20090112081082,2009,45,male,white,150000,married,Bachelors,5,1,Northeast,TRUE,118
20090112081090,2009,36,male,white,40000,married,HS,1,14,South,TRUE,119
20090112081091,2009,46,female,white,12500,not married,Some college,2,7,South,TRUE,120
20090112081108,2009,51,female,white,150000,married,Bachelors,2,12,Northeast,TRUE,121
20090112081114,2009,36,female,white,60000,married,Bachelors,2,4,South,TRUE,122
20090112081130,2009,18,male,white,100000,not married,Did not graduate from HS,3,3,South,TRUE,123
20090112081132,2009,38,male,white,100000,married,Bachelors,2,2,South,TRUE,124
20090112081184,2009,41,female,white,100000,married,Bachelors,2,4,South,TRUE,125
20090112081185,2009,35,female,white,75000,married,HS,3,1,Midwest,TRUE,126
20090112081213,2009,36,female,white,100000,married,Bachelors,2,7,West,TRUE,127
20090112081236,2009,33,male,white,75000,married,Some college,2,6,Midwest,TRUE,128
20090112081309,2009,18,female,white,75000,not married,Some college,1,14,Northeast,TRUE,129
20090112081318,2009,31,female,white,150000,married,Masters,2,0,Northeast,TRUE,130
20090112081323,2009,35,female,white,75000,married,Some college,2,11,West,TRUE,131
20090112081340,2009,26,female,white,30000,not married,Did not graduate from HS,2,0,Northeast,TRUE,132
20090112081382,2009,37,female,black,60000,married,HS,1,8,South,TRUE,133
20090112081420,2009,40,female,other,40000,not married,HS,1,0,South,TRUE,134
20090112081421,2009,17,female,white,150000,not married,Did not graduate from HS,2,13,Northeast,TRUE,135
20090112081429,2009,44,female,black,25000,not married,Some college,1,12,Midwest,TRUE,136
20090112081451,2009,43,female,white,75000,married,Bachelors,2,3,South,TRUE,137
20090112081454,2009,15,female,white,100000,not married,Did not graduate from HS,2,12,Midwest,TRUE,138
20090112081456,2009,33,male,white,75000,married,Some college,2,2,West,TRUE,139
20090112081473,2009,15,female,white,60000,not married,Did not graduate from HS,2,15,Midwest,TRUE,140
20090112081523,2009,17,male,white,40000,not married,Did not graduate from HS,1,17,Midwest,TRUE,141
20090112081525,2009,17,female,black,15000,not married,Did not graduate from HS,2,15,South,TRUE,142
20090112081548,2009,40,male,white,60000,married,HS,2,9,Northeast,TRUE,143
20090112081559,2009,25,female,white,15000,married,HS,2,2,West,TRUE,144
20090112081568,2009,45,male,white,150000,married,Bachelors,2,11,West,TRUE,145
20090112081573,2009,39,female,white,150000,married,Bachelors,3,5,Midwest,TRUE,146
20090112081575,2009,38,female,black,100000,married,Some college,2,9,South,TRUE,147
20090112081579,2009,41,female,white,40000,not married,Masters,2,12,Northeast,TRUE,148
20090112081586,2009,51,female,white,0,not married,HS,1,13,Midwest,TRUE,149
20090112081592,2009,23,male,white,35000,not married,HS,2,1,South,TRUE,150
20090112081602,2009,45,male,white,35000,married,Some college,2,0,Midwest,TRUE,151
20090112081606,2009,28,female,white,25000,not married,Some college,2,5,South,TRUE,152
20090112081641,2009,35,male,white,25000,married,Some college,1,4,South,TRUE,153
20090112081698,2009,47,female,white,5000,not married,Did not graduate from HS,1,14,South,TRUE,154
20090112081717,2009,32,female,white,35000,married,Masters,3,0,South,TRUE,155
20090112081718,2009,32,female,white,35000,married,Did not graduate from HS,2,4,West,TRUE,156
20090112081720,2009,30,female,white,25000,married,Some college,1,0,West,TRUE,157
20090112081725,2009,40,female,white,10000,not married,HS,2,14,West,TRUE,158
20090112081738,2009,29,female,white,20000,not married,HS,1,5,Northeast,TRUE,159
20090112081745,2009,40,female,white,60000,married,Masters,2,3,South,TRUE,160
20090112081748,2009,25,male,white,15000,not married,HS,3,1,Midwest,TRUE,161
20090112081749,2009,22,male,white,30000,not married,HS,3,8,West,TRUE,162
20090112081754,2009,30,female,white,20000,not married,Bachelors,1,4,Northeast,TRUE,163
20090112081763,2009,17,female,white,50000,not married,Did not graduate from HS,7,1,Midwest,TRUE,164
20090112081771,2009,32,female,white,50000,married,Some college,2,8,West,TRUE,165
20090112081776,2009,80,female,asian,100000,not married,Bachelors,2,10,West,TRUE,166
20090112081779,2009,42,female,white,60000,married,HS,2,9,South,TRUE,167
20090112081783,2009,44,male,white,35000,married,Bachelors,2,13,South,TRUE,168
20090112081809,2009,46,male,white,100000,not married,Masters,4,11,West,TRUE,169
20090112081827,2009,39,female,white,40000,married,Masters,2,13,Northeast,TRUE,170
20090112081860,2009,37,female,white,40000,not married,Masters,1,9,West,TRUE,171
20090112081862,2009,63,female,white,100000,not married,Bachelors,1,8,Midwest,TRUE,172
20090112081864,2009,46,female,white,75000,married,HS,2,13,South,TRUE,173
20090112081874,2009,25,female,black,12500,not married,Some college,3,1,South,TRUE,174
20090112081879,2009,31,female,black,5000,not married,HS,2,6,South,TRUE,175
20090112081888,2009,46,female,white,75000,married,Some college,2,9,South,TRUE,176
20090112081891,2009,49,male,white,60000,married,Bachelors,1,17,Midwest,TRUE,177
20090112081898,2009,48,male,white,75000,married,Masters,1,16,West,TRUE,178
20090112081911,2009,36,female,white,60000,married,Masters,2,1,West,TRUE,179
20090112081933,2009,15,female,white,50000,not married,Did not graduate from HS,3,11,South,TRUE,180
20090112081939,2009,25,female,white,12500,not married,Some college,2,0,Midwest,TRUE,181
20090112081942,2009,46,male,white,150000,married,Some college,1,9,South,TRUE,182
20090112081962,2009,37,male,white,40000,married,HS,3,8,Northeast,TRUE,183
20090112081965,2009,35,female,white,5000,not married,HS,3,4,Midwest,TRUE,184
20090112081970,2009,45,female,white,75000,married,Masters,2,1,South,TRUE,185
20090112081973,2009,44,female,white,100000,married,Bachelors,2,11,Northeast,TRUE,186
20090112081985,2009,29,female,black,5000,not married,HS,1,10,South,TRUE,187
20090112081986,2009,15,male,white,150000,not married,Did not graduate from HS,1,15,South,TRUE,188
20090112082009,2009,28,female,white,30000,married,Some college,2,4,South,TRUE,189
20090112082013,2009,57,female,black,30000,not married,Some college,1,14,South,TRUE,190
20090112082021,2009,39,female,white,75000,married,Bachelors,2,1,Midwest,TRUE,191
20090112082038,2009,42,female,white,100000,married,Some college,2,5,Northeast,TRUE,192
20090112082043,2009,32,female,white,30000,married,Bachelors,1,0,Midwest,TRUE,193
20090112082058,2009,40,female,white,75000,married,Some college,1,16,South,TRUE,194
20090112082066,2009,39,male,white,60000,not married,Bachelors,1,17,Midwest,TRUE,195
20090112082092,2009,35,female,white,75000,married,Bachelors,2,6,West,TRUE,196
20090112082093,2009,30,female,white,50000,married,HS,1,8,South,TRUE,197
20090112082095,2009,36,female,white,60000,married,Bachelors,2,0,Northeast,TRUE,198
20090112082097,2009,33,male,white,100000,married,Some college,1,2,West,TRUE,199
20090112082116,2009,39,male,white,15000,married,Did not graduate from HS,2,3,South,TRUE,200
20090112082121,2009,37,male,white,30000,married,HS,2,2,West,TRUE,201
20090112082126,2009,38,male,black,75000,married,Some college,3,6,South,TRUE,202
20090112082151,2009,43,male,white,75000,not married,Some college,1,15,West,TRUE,203
20090112082153,2009,54,male,white,150000,married,Doctoral,3,11,South,TRUE,204
20090112082205,2009,16,male,black,75000,not married,Did not graduate from HS,2,7,Midwest,TRUE,205
20090112082213,2009,36,female,white,75000,married,Bachelors,3,3,West,TRUE,206
20090112082214,2009,38,female,white,100000,married,Bachelors,2,6,Northeast,TRUE,207
20090112082240,2009,63,female,black,5000,married,Some college,1,7,Midwest,TRUE,208
20090112082296,2009,59,female,white,35000,married,Did not graduate from HS,2,1,South,TRUE,209
20090112082297,2009,49,female,white,75000,married,HS,1,15,Midwest,TRUE,210
20090112082298,2009,25,female,white,60000,married,HS,2,1,West,TRUE,211
20090112082314,2009,38,male,white,75000,married,Bachelors,2,10,Northeast,TRUE,212
20090112082316,2009,42,male,white,50000,married,Some college,2,5,Midwest,TRUE,213
20090112082351,2009,16,male,white,12500,not married,Did not graduate from HS,1,16,Northeast,TRUE,214
20090112082369,2009,31,female,white,100000,married,Doctoral,1,2,Midwest,TRUE,215
20090112082391,2009,41,male,white,150000,married,Bachelors,1,12,South,TRUE,216
20090112082411,2009,42,male,white,100000,married,Masters,1,16,Midwest,TRUE,217
20090112082413,2009,38,female,white,100000,married,Some college,1,8,South,TRUE,218
20090112082429,2009,31,female,white,60000,married,Some college,2,5,Northeast,TRUE,219
20090112082432,2009,39,female,white,60000,not married,Masters,3,5,Midwest,TRUE,220
20090112082433,2009,49,male,white,35000,married,Doctoral,1,3,West,TRUE,221
20090112082437,2009,69,male,white,50000,married,Masters,1,11,South,TRUE,222
20090112082439,2009,30,female,white,100000,married,HS,5,6,Midwest,TRUE,223
20090112082440,2009,26,female,white,40000,married,Bachelors,1,0,West,TRUE,224
20090112082441,2009,41,female,white,25000,not married,HS,1,15,Northeast,TRUE,225
20090112082450,2009,37,male,white,12500,not married,HS,3,5,Midwest,TRUE,226
20090112082461,2009,33,female,white,150000,married,Masters,3,2,South,TRUE,227
20090112082474,2009,15,female,white,35000,not married,Did not graduate from HS,1,15,Midwest,TRUE,228
20090112082483,2009,52,male,white,75000,married,HS,2,7,South,TRUE,229
20090112082500,2009,19,male,white,15000,not married,Did not graduate from HS,3,13,Midwest,TRUE,230
20090201090020,2009,42,female,white,50000,married,HS,2,7,Northeast,TRUE,231
20090201090032,2009,25,male,black,50000,not married,Did not graduate from HS,1,1,South,TRUE,232
20090201090044,2009,33,male,black,7500,not married,Some college,1,5,Midwest,TRUE,233
20090201090063,2009,52,female,white,5000,not married,HS,1,11,West,TRUE,234
20090201090079,2009,41,female,white,50000,married,HS,3,10,Midwest,TRUE,235
20090201090502,2009,38,female,white,50000,not married,Bachelors,1,2,Midwest,TRUE,236
20090201090505,2009,43,female,white,150000,married,Bachelors,2,6,Northeast,TRUE,237
20090201090507,2009,54,female,white,150000,married,Some college,1,16,Northeast,TRUE,238
20090201090516,2009,37,female,white,20000,married,HS,2,2,South,TRUE,239
20090201090530,2009,24,male,white,25000,married,Bachelors,1,0,West,TRUE,240
20090201090533,2009,51,female,white,75000,not married,Masters,1,12,Northeast,TRUE,241
20090201090540,2009,45,male,white,150000,married,Bachelors,2,12,Midwest,TRUE,242
20090201090549,2009,27,female,white,30000,not married,Some college,2,5,South,TRUE,243
20090201090588,2009,67,female,white,50000,not married,Some college,1,6,South,TRUE,244
20090201090608,2009,39,female,asian,50000,married,Some college,2,9,South,TRUE,245
20090201090621,2009,41,female,white,40000,not married,Some college,2,11,West,TRUE,246
20090201090626,2009,32,male,asian,50000,married,Masters,1,2,West,TRUE,247
20090201090650,2009,44,female,white,100000,married,Bachelors,2,12,South,TRUE,248
20090201090656,2009,16,male,white,150000,not married,Did not graduate from HS,1,16,West,TRUE,249
20090201090670,2009,42,male,white,150000,married,Bachelors,2,7,South,TRUE,250
20090201090673,2009,29,female,white,35000,not married,Some college,3,6,West,TRUE,251
20090201090678,2009,41,female,white,60000,married,Some college,3,8,West,TRUE,252
20090201090680,2009,35,male,white,30000,not married,HS,3,6,West,TRUE,253
20090201090690,2009,37,female,white,75000,married,HS,2,8,Midwest,TRUE,254
20090201090694,2009,48,female,white,75000,married,Masters,2,5,West,TRUE,255
20090201090716,2009,29,female,white,0,not married,Did not graduate from HS,4,1,West,TRUE,256
20090201090758,2009,41,female,white,25000,married,Some college,1,0,West,TRUE,257
20090201090771,2009,18,male,white,100000,not married,HS,2,6,South,TRUE,258
20090201090774,2009,37,male,black,40000,married,Bachelors,1,1,South,TRUE,259
20090201090775,2009,15,male,white,75000,not married,Did not graduate from HS,1,15,West,TRUE,260
20090201090796,2009,37,female,white,25000,married,Some college,2,1,South,TRUE,261
20090201090820,2009,27,male,white,15000,not married,Did not graduate from HS,1,10,West,TRUE,262
20090201090823,2009,33,male,white,75000,married,Masters,3,1,Northeast,TRUE,263
20090201090824,2009,37,male,white,20000,married,Did not graduate from HS,3,1,South,TRUE,264
20090201090833,2009,40,female,white,150000,married,Doctoral,2,4,Midwest,TRUE,265
20090201090848,2009,16,male,white,40000,not married,Did not graduate from HS,2,16,Northeast,TRUE,266
20090201090854,2009,45,female,white,150000,married,Bachelors,3,8,Northeast,TRUE,267
20090201090864,2009,39,female,white,60000,not married,HS,1,16,South,TRUE,268
20090201090881,2009,49,female,white,50000,married,HS,1,15,South,TRUE,269
20090201090972,2009,32,female,white,60000,married,Masters,2,8,West,TRUE,270
20090201090974,2009,45,female,white,75000,married,HS,1,15,South,TRUE,271
20090201091003,2009,38,female,white,35000,married,Some college,3,8,South,TRUE,272
20090201091005,2009,23,male,white,30000,married,Some college,1,0,Midwest,TRUE,273
20090201091032,2009,41,female,white,40000,married,HS,1,16,South,TRUE,274
20090201091035,2009,44,female,white,75000,married,Bachelors,3,3,West,TRUE,275
20090201091042,2009,50,female,white,150000,married,Masters,2,10,Northeast,TRUE,276
20090201091065,2009,26,male,white,75000,married,Bachelors,1,0,West,TRUE,277
20090201091088,2009,44,male,white,35000,married,Did not graduate from HS,4,9,West,TRUE,278
20090201091107,2009,35,male,white,100000,married,Bachelors,3,0,South,TRUE,279
20090201091124,2009,29,female,white,35000,not married,HS,1,4,Midwest,TRUE,280
20090201091144,2009,36,female,white,60000,married,Masters,1,3,Northeast,TRUE,281
20090201091194,2009,45,female,white,50000,married,Did not graduate from HS,4,1,West,TRUE,282
20090201091213,2009,33,female,white,75000,married,Bachelors,2,1,West,TRUE,283
20090201091249,2009,49,male,white,30000,married,Did not graduate from HS,2,12,South,TRUE,284
20090201091291,2009,38,female,white,150000,married,Masters,2,11,Midwest,TRUE,285
20090201091293,2009,51,female,white,100000,married,Bachelors,1,15,West,TRUE,286
20090201091297,2009,33,female,white,20000,married,Did not graduate from HS,2,7,South,TRUE,287
20090201091313,2009,43,female,white,75000,married,Some college,2,9,Midwest,TRUE,288
20090201091316,2009,42,female,white,75000,married,Did not graduate from HS,2,1,West,TRUE,289
20090201091317,2009,32,female,white,100000,married,Bachelors,1,0,West,TRUE,290
20090201091332,2009,33,male,white,15000,married,Did not graduate from HS,2,5,West,TRUE,291
20090201091333,2009,36,male,white,150000,married,Masters,2,4,Midwest,TRUE,292
20090201091345,2009,45,male,white,20000,not married,Did not graduate from HS,1,14,West,TRUE,293
20090201091351,2009,33,female,white,25000,not married,HS,3,2,South,TRUE,294
20090201091359,2009,51,female,white,100000,married,Bachelors,1,11,South,TRUE,295
20090201091373,2009,25,female,white,50000,married,HS,1,5,West,TRUE,296
20090201091375,2009,47,male,white,50000,married,Some college,1,17,South,TRUE,297
20090201091384,2009,43,male,white,100000,married,Bachelors,2,10,Midwest,TRUE,298
20090201091404,2009,46,male,white,75000,married,Bachelors,2,13,Midwest,TRUE,299
20090201091415,2009,40,female,white,15000,married,Did not graduate from HS,3,4,West,TRUE,300
20090201091418,2009,43,male,white,150000,married,Bachelors,1,12,Midwest,TRUE,301
20090201091457,2009,49,female,white,150000,married,Bachelors,1,16,Midwest,TRUE,302
20090201091463,2009,39,male,white,50000,married,Some college,2,3,South,TRUE,303
20090201091467,2009,37,male,white,75000,married,Bachelors,2,10,Midwest,TRUE,304
20090201091471,2009,35,male,white,100000,not married,Masters,1,9,Midwest,TRUE,305
20090201091472,2009,16,male,white,50000,not married,Did not graduate from HS,1,16,Midwest,TRUE,306
20090201091535,2009,50,female,white,75000,married,Masters,1,17,South,TRUE,307
20090201091540,2009,17,male,black,60000,not married,Did not graduate from HS,3,10,West,TRUE,308
20090201091543,2009,16,male,black,50000,not married,Did not graduate from HS,1,16,South,TRUE,309
20090201091560,2009,30,female,white,50000,married,Bachelors,2,2,Midwest,TRUE,310
20090201091576,2009,27,female,white,25000,married,Some college,1,1,South,TRUE,311
20090201091579,2009,35,female,white,60000,married,Bachelors,2,6,Northeast,TRUE,312
20090201091595,2009,29,female,white,15000,married,HS,1,10,South,TRUE,313
20090201091598,2009,16,male,white,150000,not married,Did not graduate from HS,1,16,Northeast,TRUE,314
20090201091614,2009,29,male,white,60000,married,Some college,2,0,West,TRUE,315
20090201091631,2009,43,male,white,150000,not married,Doctoral,3,9,West,TRUE,316
20090201091651,2009,49,female,white,100000,married,Some college,1,17,Midwest,TRUE,317
20090201091659,2009,37,male,white,150000,married,Doctoral,3,1,South,TRUE,318
20090201091695,2009,52,female,white,75000,married,Some college,2,10,South,TRUE,319
20090201091704,2009,35,male,asian,75000,not married,Bachelors,1,15,West,TRUE,320
20090201091708,2009,44,male,white,60000,married,Some college,2,12,Midwest,TRUE,321
20090201091713,2009,48,female,white,15000,not married,Some college,1,14,Midwest,TRUE,322
20090201091732,2009,30,female,white,0,not married,Did not graduate from HS,2,4,Midwest,TRUE,323
20090201091739,2009,26,female,white,60000,married,Some college,3,1,West,TRUE,324
20090201091742,2009,46,male,white,150000,married,Doctoral,2,10,Northeast,TRUE,325
20090201091746,2009,54,male,white,50000,married,Bachelors,3,6,Midwest,TRUE,326
20090201091766,2009,29,female,white,75000,married,Bachelors,2,2,Northeast,TRUE,327
20090201091770,2009,48,male,black,60000,married,Some college,2,4,Northeast,TRUE,328
20090201091786,2009,43,female,white,50000,married,Some college,1,5,Northeast,TRUE,329
20090201091794,2009,46,male,white,40000,not married,HS,1,16,West,TRUE,330
20090201091819,2009,53,male,white,100000,married,Masters,2,14,Midwest,TRUE,331
20090201091826,2009,38,male,white,10000,married,Some college,2,9,South,TRUE,332
20090201091827,2009,37,male,white,75000,married,HS,3,9,Midwest,TRUE,333
20090201091837,2009,42,female,black,100000,married,Bachelors,3,2,South,TRUE,334
20090201091885,2009,51,male,white,25000,not married,Did not graduate from HS,1,17,South,TRUE,335
20090201091887,2009,35,female,white,40000,married,HS,3,7,South,TRUE,336
20090201091893,2009,35,female,white,100000,married,Masters,2,2,Northeast,TRUE,337
20090201091911,2009,67,male,white,25000,married,HS,2,14,South,TRUE,338
20090201091914,2009,37,female,white,50000,married,Some college,2,8,West,TRUE,339
20090201091956,2009,52,female,black,5000,not married,Did not graduate from HS,3,12,South,TRUE,340
20090201091958,2009,22,female,other,20000,married,HS,1,0,South,TRUE,341
20090201091963,2009,37,male,white,75000,married,Bachelors,2,2,Northeast,TRUE,342
20090201091975,2009,35,female,white,50000,married,HS,1,15,South,TRUE,343
20090201091993,2009,30,male,white,30000,married,Some college,1,1,West,TRUE,344
20090201092000,2009,18,female,white,150000,not married,Did not graduate from HS,1,17,Northeast,TRUE,345
20090201092016,2009,43,female,asian,60000,married,Bachelors,1,12,Northeast,TRUE,346
