ID,year,age,sex,race,fam_income,married,education,n_child,age_youngest,region,labor_force_status,partner_working,elder_in_HH,metropolitan,treatment,pair_id
20070403071366,2007,37,male,white,40000,not married,Some college,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,20
20070201072460,2007,66,male,white,10000,not married,Bachelors,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,21
20070908072058,2007,62,female,white,50000,not married,Masters,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,22
20070807070610,2007,40,male,black,5000,not married,Some college,2,3,West,not in labor force,not employed,FALSE,metropolitan,FALSE,23
20070807072495,2007,58,male,white,50000,not married,Some college,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,24
20070302070771,2007,46,female,white,50000,not married,Bachelors,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,25
20071010070799,2007,43,female,white,75000,married,Bachelors,1,16,West,employed - at work,not employed,FALSE,metropolitan,FALSE,26
20070201072365,2007,28,male,white,30000,not married,Did not graduate from HS,0,0,West,employed - at work,"NA",TRUE,"NA",FALSE,27
20070303070631,2007,58,female,white,75000,not married,Masters,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,28
20071009071073,2007,39,male,asian,60000,married,Bachelors,2,2,Midwest,employed - at work,not employed,FALSE,metropolitan,FALSE,29
20070302071410,2007,29,male,white,30000,not married,HS,0,0,Midwest,employed - absent,"NA",FALSE,non-metropolitan,FALSE,30
20070807070586,2007,69,male,white,100000,married,Bachelors,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,31
20070505071120,2007,74,female,white,25000,not married,Some college,0,0,West,not in labor force,"NA",FALSE,metropolitan,FALSE,32
20071009071573,2007,51,male,white,100000,not married,Bachelors,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,33
20070705071251,2007,47,female,white,30000,not married,Some college,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,34
20070707071840,2007,26,female,white,40000,not married,HS,1,1,South,employed - at work,"NA",TRUE,metropolitan,FALSE,35
20071211071139,2007,43,female,black,40000,not married,HS,0,0,Midwest,employed - at work,"NA",TRUE,metropolitan,FALSE,36
20070302071688,2007,59,female,white,60000,married,Some college,0,0,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,37
20070302072102,2007,44,male,white,20000,married,Did not graduate from HS,1,1,South,employed - at work,employed,FALSE,non-metropolitan,FALSE,38
20070906071665,2007,27,male,white,15000,not married,Masters,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,39
20071009071177,2007,71,female,white,7500,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,40
20070403071281,2007,80,female,black,12500,not married,Did not graduate from HS,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,41
20070101072350,2007,71,male,white,40000,married,HS,0,0,Midwest,not in labor force,not employed,FALSE,metropolitan,FALSE,42
20071009071303,2007,50,female,white,150000,married,Bachelors,1,14,South,employed - at work,employed,FALSE,metropolitan,FALSE,43
20071109070521,2007,29,female,black,0,married,HS,4,4,South,not in labor force,not employed,FALSE,metropolitan,FALSE,44
20071211070561,2007,73,male,white,60000,married,Masters,0,0,West,not in labor force,not employed,FALSE,metropolitan,FALSE,45
20071211071969,2007,28,male,black,20000,not married,Bachelors,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,46
20070112061767,2007,39,male,white,50000,married,Some college,2,8,Midwest,employed - at work,employed,FALSE,non-metropolitan,FALSE,47
20070402072004,2007,71,female,white,35000,married,Did not graduate from HS,0,0,Midwest,not in labor force,not employed,FALSE,non-metropolitan,FALSE,48
20070111062207,2007,37,male,white,100000,married,Bachelors,2,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,49
20070605072612,2007,34,female,white,35000,married,Some college,1,3,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,50
20071009071859,2007,17,male,other,100000,not married,Did not graduate from HS,3,16,South,employed - absent,"NA",TRUE,metropolitan,FALSE,51
20070505071679,2007,77,male,white,5000,not married,Did not graduate from HS,0,0,West,not in labor force,"NA",FALSE,non-metropolitan,FALSE,52
20070112062420,2007,36,male,asian,30000,not married,Doctoral,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,53
20070605070646,2007,33,female,white,60000,not married,Bachelors,0,0,West,unemployed - looking,"NA",TRUE,metropolitan,FALSE,54
20070706072077,2007,72,female,white,20000,married,Some college,0,0,Northeast,not in labor force,not employed,FALSE,non-metropolitan,FALSE,55
20070111062460,2007,20,female,black,7500,married,Did not graduate from HS,1,2,South,employed - at work,employed,FALSE,metropolitan,FALSE,56
20070606071406,2007,50,male,black,7500,not married,Did not graduate from HS,1,17,Midwest,unemployed - looking,not employed,FALSE,metropolitan,FALSE,57
20071110072035,2007,30,female,white,5000,married,Did not graduate from HS,3,5,South,employed - at work,not employed,FALSE,metropolitan,FALSE,58
20070807072322,2007,33,female,white,100000,not married,HS,0,0,South,not in labor force,"NA",TRUE,metropolitan,FALSE,59
20070807071171,2007,51,male,white,100000,married,HS,0,0,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,60
20070504072616,2007,32,female,white,60000,not married,Bachelors,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,61
20070111062460,2007,20,female,black,7500,married,Did not graduate from HS,1,2,South,employed - at work,employed,FALSE,metropolitan,FALSE,62
20070301070745,2007,32,female,white,30000,married,Did not graduate from HS,2,12,West,employed - at work,employed,FALSE,metropolitan,FALSE,63
20070504070079,2007,26,female,white,7500,not married,HS,2,5,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,64
20071010072344,2007,61,male,white,20000,not married,Bachelors,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,65
20070706071289,2007,26,female,white,50000,married,HS,2,1,South,employed - at work,employed,FALSE,metropolitan,FALSE,66
20070908071320,2007,24,female,black,50000,not married,HS,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,67
20070212060985,2007,54,male,white,20000,married,Some college,0,0,South,employed - at work,not employed,FALSE,metropolitan,FALSE,68
20070302070622,2007,59,male,white,75000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,69
20071211071997,2007,31,female,white,40000,married,Bachelors,1,6,South,employed - at work,employed,FALSE,metropolitan,FALSE,70
20070808072183,2007,49,female,white,7500,not married,Did not graduate from HS,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,71
20070908071597,2007,45,male,white,75000,married,Some college,2,9,Northeast,employed - at work,employed,TRUE,metropolitan,FALSE,72
20070706071551,2007,29,female,white,40000,not married,Masters,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,73
20070808071671,2007,64,female,white,30000,not married,HS,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,74
20070303070991,2007,79,male,white,25000,married,Bachelors,0,0,South,not in labor force,not employed,FALSE,metropolitan,FALSE,75
20070504072660,2007,57,female,black,15000,not married,HS,0,0,South,employed - at work,"NA",FALSE,non-metropolitan,FALSE,76
20070112060656,2007,64,female,black,10000,not married,HS,0,0,West,not in labor force,"NA",FALSE,metropolitan,FALSE,77
20070605071245,2007,51,female,white,15000,not married,HS,0,0,Midwest,employed - at work,"NA",FALSE,non-metropolitan,FALSE,78
20070706072303,2007,55,female,black,0,not married,Did not graduate from HS,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,79
20070806071501,2007,42,female,white,35000,not married,Some college,1,10,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,80
20070504071289,2007,66,female,white,30000,not married,Some college,0,0,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,81
20070301071864,2007,17,female,other,75000,not married,Did not graduate from HS,2,16,South,unemployed - looking,"NA",TRUE,non-metropolitan,FALSE,82
20071009071257,2007,38,male,white,50000,married,HS,4,7,South,employed - at work,not employed,FALSE,metropolitan,FALSE,83
20070302070928,2007,66,male,white,100000,married,Did not graduate from HS,0,0,South,employed - at work,employed,TRUE,metropolitan,FALSE,84
20071110072395,2007,26,female,white,40000,married,Bachelors,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,85
20071211071752,2007,30,female,white,40000,married,Bachelors,2,2,Midwest,not in labor force,not employed,FALSE,metropolitan,FALSE,86
20070504071864,2007,37,female,black,40000,married,Some college,1,16,South,employed - at work,employed,FALSE,metropolitan,FALSE,87
20070706071718,2007,49,male,white,75000,married,Bachelors,2,12,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,88
20071009070745,2007,34,male,white,150000,married,Masters,1,12,West,not in labor force,employed,FALSE,metropolitan,FALSE,89
20071110071985,2007,37,female,white,35000,not married,Some college,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,90
20071211071971,2007,52,female,black,25000,not married,Bachelors,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,91
20070112061594,2007,39,male,white,12500,not married,HS,0,0,West,employed - at work,"NA",TRUE,metropolitan,FALSE,92
20071211071146,2007,44,male,white,50000,married,Some college,2,12,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,93
20070302071728,2007,45,female,white,25000,married,Some college,1,14,South,employed - at work,employed,FALSE,metropolitan,FALSE,94
20071008070001,2007,64,male,black,5000,not married,Did not graduate from HS,0,0,South,not in labor force,"NA",FALSE,non-metropolitan,FALSE,95
20071010072318,2007,75,male,other,35000,married,HS,0,0,Midwest,not in labor force,not employed,FALSE,metropolitan,FALSE,96
20070505071651,2007,16,male,white,100000,not married,Did not graduate from HS,3,8,Northeast,unemployed - looking,"NA",TRUE,metropolitan,FALSE,97
20070504071951,2007,31,female,white,12500,not married,Some college,2,7,Midwest,not in labor force,"NA",FALSE,non-metropolitan,FALSE,98
20071110071348,2007,35,male,other,15000,not married,Bachelors,1,7,Midwest,unemployed - looking,"NA",TRUE,metropolitan,FALSE,99
20070908071043,2007,31,female,black,40000,not married,Bachelors,1,10,South,employed - at work,"NA",FALSE,metropolitan,FALSE,100
20070908070618,2007,59,female,white,25000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,101
20071010072081,2007,42,female,asian,60000,married,HS,1,7,South,not in labor force,employed,FALSE,metropolitan,FALSE,102
20070112061361,2007,58,female,white,20000,not married,HS,0,0,Midwest,employed - at work,"NA",FALSE,metropolitan,FALSE,103
20070302071935,2007,72,male,white,20000,not married,HS,0,0,Northeast,not in labor force,"NA",FALSE,metropolitan,FALSE,104
20070403071384,2007,45,male,white,100000,married,Masters,2,13,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,105
20071110071278,2007,49,male,white,60000,not married,Bachelors,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,106
20070111060517,2007,75,female,black,5000,not married,Did not graduate from HS,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,107
20070201071286,2007,22,male,other,35000,not married,Some college,1,10,South,not in labor force,"NA",TRUE,metropolitan,FALSE,108
20070605072610,2007,29,male,white,25000,married,Some college,1,1,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,109
20071210072170,2007,36,male,white,100000,married,Masters,2,2,South,employed - at work,employed,FALSE,metropolitan,FALSE,110
20070706071792,2007,51,male,asian,30000,married,Bachelors,1,15,Northeast,employed - absent,employed,FALSE,metropolitan,FALSE,111
20070403071852,2007,69,female,black,12500,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,112
20070111062460,2007,20,female,black,7500,married,Did not graduate from HS,1,2,South,employed - at work,employed,FALSE,metropolitan,FALSE,113
20070908071472,2007,80,female,white,15000,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,non-metropolitan,FALSE,114
20071009072041,2007,30,female,white,25000,not married,Bachelors,1,11,South,employed - at work,"NA",FALSE,metropolitan,FALSE,115
20071211072329,2007,15,male,white,75000,not married,Did not graduate from HS,2,10,West,not in labor force,"NA",TRUE,metropolitan,FALSE,116
20071211071131,2007,47,female,white,40000,married,Some college,0,0,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,117
20071009072387,2007,29,female,white,25000,married,Some college,2,4,Midwest,not in labor force,employed,FALSE,non-metropolitan,FALSE,118
20070201071785,2007,25,female,white,75000,married,Some college,2,1,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,119
20070908071515,2007,50,female,black,20000,not married,Did not graduate from HS,2,14,Midwest,employed - at work,"NA",FALSE,non-metropolitan,FALSE,120
20070101070673,2007,26,male,white,50000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,121
20071211072174,2007,80,female,white,50000,not married,Bachelors,0,0,Northeast,not in labor force,"NA",FALSE,metropolitan,FALSE,122
20070605070684,2007,30,male,other,40000,not married,Masters,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,123
20070807071571,2007,33,male,asian,60000,not married,Did not graduate from HS,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,124
20070706072087,2007,68,female,white,75000,married,Some college,0,0,Northeast,employed - at work,not employed,FALSE,metropolitan,FALSE,125
20070908071876,2007,57,female,black,0,not married,Some college,1,17,Midwest,unemployed - looking,"NA",FALSE,metropolitan,FALSE,126
20071211070505,2007,48,female,black,20000,not married,HS,0,0,South,employed - at work,"NA",TRUE,non-metropolitan,FALSE,127
20070101070756,2007,24,male,asian,25000,married,Some college,1,1,West,unemployed - looking,not employed,FALSE,metropolitan,FALSE,128
20070201070886,2007,16,female,black,15000,not married,Did not graduate from HS,3,6,South,unemployed - looking,"NA",TRUE,metropolitan,FALSE,129
20070706070960,2007,60,female,white,100000,married,Masters,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,130
20071110071898,2007,50,male,white,100000,not married,HS,0,0,Northeast,employed - at work,"NA",FALSE,non-metropolitan,FALSE,131
20070605071518,2007,39,female,white,75000,married,Some college,0,0,South,employed - at work,employed,FALSE,non-metropolitan,FALSE,132
20071210071789,2007,18,female,white,100000,not married,HS,1,1,Midwest,employed - at work,"NA",TRUE,non-metropolitan,FALSE,133
20070807070113,2007,29,female,black,75000,not married,HS,3,1,South,employed - at work,employed,FALSE,metropolitan,FALSE,134
20071010072155,2007,37,female,white,100000,married,Some college,3,8,South,employed - at work,employed,FALSE,metropolitan,FALSE,135
20070706071651,2007,32,female,white,60000,married,Bachelors,4,1,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,136
20070806071107,2007,24,female,white,40000,married,Bachelors,2,1,West,unemployed - on layoff,employed,FALSE,metropolitan,FALSE,137
20070302071462,2007,46,male,white,100000,married,Masters,2,11,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,138
20070202071324,2007,53,male,white,100000,married,Bachelors,1,10,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,139
20070201072343,2007,42,female,white,30000,married,Some college,2,4,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,140
20070605070973,2007,65,female,white,40000,not married,HS,3,2,South,not in labor force,"NA",FALSE,metropolitan,FALSE,141
20070212062387,2007,39,male,black,75000,not married,Did not graduate from HS,1,17,Northeast,employed - at work,"NA",TRUE,metropolitan,FALSE,142
20071212072449,2007,44,female,white,60000,married,Some college,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,143
20070212061891,2007,46,male,white,40000,married,HS,2,14,West,employed - at work,employed,FALSE,non-metropolitan,FALSE,144
20070606072080,2007,46,female,white,40000,married,Bachelors,5,2,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,145
20071110071325,2007,26,female,white,15000,married,Bachelors,2,0,Midwest,unemployed - looking,employed,FALSE,metropolitan,FALSE,146
20071110072002,2007,54,female,white,15000,not married,Some college,0,0,South,employed - absent,"NA",FALSE,non-metropolitan,FALSE,147
20070808070814,2007,17,female,white,35000,not married,Did not graduate from HS,4,3,West,unemployed - looking,"NA",TRUE,metropolitan,FALSE,148
20070909072081,2007,28,male,white,40000,married,Bachelors,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,149
20070807070695,2007,55,female,white,75000,not married,Doctoral,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,150
20070112062364,2007,72,female,white,25000,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,151
20070707070649,2007,63,female,white,40000,not married,HS,0,0,West,employed - at work,"NA",TRUE,metropolitan,FALSE,152
20070403072316,2007,47,male,white,40000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,153
20070503072000,2007,60,male,black,20000,married,HS,0,0,South,employed - at work,not employed,FALSE,metropolitan,FALSE,154
20070605072654,2007,67,female,white,20000,married,HS,0,0,South,not in labor force,not employed,FALSE,metropolitan,FALSE,155
20070806070652,2007,48,male,white,75000,married,Masters,3,1,West,employed - at work,not employed,FALSE,metropolitan,FALSE,156
20071010071693,2007,37,female,white,150000,married,Some college,2,0,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,157
20070807070032,2007,26,female,black,12500,not married,Did not graduate from HS,1,5,South,employed - at work,"NA",FALSE,metropolitan,FALSE,158
20070201072383,2007,70,female,white,40000,married,Masters,0,0,Northeast,not in labor force,not employed,FALSE,metropolitan,FALSE,159
20070302070942,2007,54,male,white,25000,married,Did not graduate from HS,0,0,South,unemployed - on layoff,employed,FALSE,metropolitan,FALSE,160
20071110071424,2007,46,male,white,75000,not married,Some college,2,13,Midwest,employed - at work,employed,TRUE,non-metropolitan,FALSE,161
20071010070799,2007,43,female,white,75000,married,Bachelors,1,16,West,employed - at work,not employed,FALSE,metropolitan,FALSE,162
20070403071382,2007,39,female,white,100000,married,Bachelors,4,4,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,163
20071211070615,2007,62,female,white,60000,not married,Bachelors,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,164
20071110071425,2007,85,male,white,10000,married,Some college,0,0,Midwest,not in labor force,not employed,FALSE,metropolitan,FALSE,165
20071211070797,2007,65,male,white,40000,married,Some college,0,0,West,not in labor force,not employed,FALSE,metropolitan,FALSE,166
20070404070948,2007,31,female,white,100000,married,Bachelors,2,3,South,employed - at work,employed,FALSE,metropolitan,FALSE,167
20070202072232,2007,31,female,white,75000,married,Bachelors,2,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,168
20071110071081,2007,48,male,white,150000,married,Doctoral,1,17,Midwest,employed - at work,not employed,FALSE,metropolitan,FALSE,169
20070302072512,2007,37,male,white,30000,not married,HS,0,0,South,employed - at work,"NA",FALSE,non-metropolitan,FALSE,170
20071009072345,2007,17,male,white,100000,not married,Did not graduate from HS,1,17,West,not in labor force,"NA",TRUE,metropolitan,FALSE,171
20071211070864,2007,17,female,black,20000,not married,Did not graduate from HS,2,1,South,not in labor force,"NA",TRUE,metropolitan,FALSE,172
20070504072062,2007,44,female,white,35000,not married,HS,0,0,Northeast,employed - at work,"NA",FALSE,metropolitan,FALSE,173
20070201071072,2007,31,male,white,20000,married,Some college,3,0,West,employed - at work,not employed,FALSE,non-metropolitan,FALSE,174
20071009070904,2007,66,female,white,40000,married,Some college,0,0,South,not in labor force,employed,FALSE,metropolitan,FALSE,175
20071110071017,2007,47,female,white,100000,married,Some college,2,1,West,employed - at work,employed,FALSE,metropolitan,FALSE,176
20070908070927,2007,22,male,black,0,not married,Bachelors,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,177
20070402071409,2007,48,male,white,60000,married,Masters,2,10,Midwest,employed - at work,employed,FALSE,metropolitan,FALSE,178
20071009072316,2007,17,female,white,75000,not married,Did not graduate from HS,1,17,Midwest,employed - at work,"NA",TRUE,metropolitan,FALSE,179
20070301071157,2007,35,female,white,50000,not married,HS,2,0,Midwest,employed - at work,not employed,FALSE,non-metropolitan,FALSE,180
20070706071289,2007,26,female,white,50000,married,HS,2,1,South,employed - at work,employed,FALSE,metropolitan,FALSE,181
20071009072009,2007,19,female,white,20000,not married,HS,2,2,South,employed - at work,"NA",TRUE,non-metropolitan,FALSE,182
20071110071710,2007,41,male,white,75000,married,Did not graduate from HS,2,5,South,employed - absent,employed,FALSE,non-metropolitan,FALSE,183
20070112062172,2007,52,female,white,100000,married,Some college,1,17,South,employed - at work,employed,FALSE,metropolitan,FALSE,184
20070402071869,2007,29,female,other,35000,not married,HS,6,1,South,not in labor force,employed,FALSE,metropolitan,FALSE,185
20071110071198,2007,73,female,white,50000,married,HS,0,0,South,not in labor force,not employed,FALSE,metropolitan,FALSE,186
20070908070952,2007,61,female,white,20000,not married,HS,0,0,South,employed - at work,"NA",FALSE,metropolitan,FALSE,187
20071109070522,2007,42,female,white,60000,married,HS,0,0,South,employed - at work,employed,FALSE,metropolitan,FALSE,188
20070201071679,2007,45,female,white,100000,married,Some college,3,12,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,189
20070403070682,2007,45,male,white,25000,married,Did not graduate from HS,3,8,West,employed - at work,not employed,FALSE,metropolitan,FALSE,190
20071010071012,2007,58,male,white,150000,not married,Bachelors,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,191
20070302071069,2007,53,female,white,15000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,192
20070504071527,2007,23,female,white,40000,married,Some college,1,2,South,employed - at work,employed,FALSE,non-metropolitan,FALSE,193
20070202071504,2007,53,female,white,50000,married,HS,0,0,West,employed - at work,employed,FALSE,metropolitan,FALSE,194
20071009070700,2007,63,female,white,35000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,195
20070908071574,2007,15,female,white,150000,not married,Did not graduate from HS,1,15,Northeast,unemployed - looking,"NA",TRUE,metropolitan,FALSE,196
20070302071196,2007,20,female,white,15000,not married,HS,1,3,Midwest,unemployed - looking,not employed,FALSE,metropolitan,FALSE,197
20070201072514,2007,50,male,black,30000,not married,HS,0,0,South,employed - at work,"NA",FALSE,non-metropolitan,FALSE,198
20070908070682,2007,47,female,white,50000,not married,Did not graduate from HS,0,0,West,employed - at work,"NA",TRUE,metropolitan,FALSE,199
20070403071530,2007,38,female,white,100000,married,HS,2,5,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,200
20071008071634,2007,49,female,white,30000,not married,Some college,0,0,West,employed - at work,"NA",FALSE,metropolitan,FALSE,201
20071211070731,2007,80,female,white,20000,not married,Did not graduate from HS,1,12,West,not in labor force,"NA",FALSE,metropolitan,FALSE,202
20070301070555,2007,17,male,white,75000,not married,Did not graduate from HS,2,15,West,unemployed - looking,"NA",TRUE,metropolitan,FALSE,203
20070201070713,2007,60,female,white,75000,married,Some college,0,0,West,not in labor force,not employed,FALSE,metropolitan,FALSE,204
20071009072399,2007,52,female,white,25000,not married,Did not graduate from HS,0,0,South,employed - at work,"NA",FALSE,non-metropolitan,FALSE,205
20070403072121,2007,37,female,white,75000,married,Did not graduate from HS,1,14,South,employed - at work,employed,FALSE,metropolitan,FALSE,206
20070707071840,2007,26,female,white,40000,not married,HS,1,1,South,employed - at work,"NA",TRUE,metropolitan,FALSE,207
20071210071928,2007,53,male,white,150000,married,Did not graduate from HS,2,13,Northeast,employed - at work,not employed,FALSE,metropolitan,FALSE,208
20070605072611,2007,53,male,white,40000,not married,HS,0,0,Midwest,employed - at work,"NA",FALSE,non-metropolitan,FALSE,209
20070807070834,2007,48,male,white,75000,married,HS,2,4,West,not in labor force,employed,FALSE,metropolitan,FALSE,210
20070403072431,2007,38,female,white,100000,married,Bachelors,2,6,Midwest,employed - at work,employed,FALSE,non-metropolitan,FALSE,211
20070807070509,2007,69,female,white,35000,not married,HS,2,3,South,not in labor force,"NA",FALSE,metropolitan,FALSE,212
20070807072424,2007,15,female,white,100000,not married,Did not graduate from HS,1,15,West,not in labor force,"NA",TRUE,metropolitan,FALSE,213
20071210071674,2007,36,male,white,75000,married,Masters,3,2,Northeast,employed - at work,employed,FALSE,metropolitan,FALSE,214
20070706071009,2007,79,female,white,20000,not married,HS,0,0,South,not in labor force,"NA",FALSE,metropolitan,FALSE,215
20070402071104,2007,61,male,white,10000,not married,HS,0,0,Midwest,not in labor force,"NA",FALSE,metropolitan,FALSE,216
20071010071693,2007,37,female,white,150000,married,Some college,2,0,Northeast,not in labor force,employed,FALSE,metropolitan,FALSE,217
20071210072321,2007,60,female,white,150000,not married,Masters,3,7,West,employed - at work,"NA",FALSE,non-metropolitan,FALSE,218
20070504072065,2007,28,female,white,75000,not married,Some college,0,0,Northeast,employed - at work,"NA",TRUE,non-metropolitan,FALSE,219
20070504070760,2007,69,female,white,30000,married,Some college,0,0,West,not in labor force,employed,FALSE,metropolitan,FALSE,220
20071009071030,2007,40,male,black,60000,married,Masters,1,9,South,employed - at work,employed,FALSE,metropolitan,FALSE,221
20071009070904,2007,66,female,white,40000,married,Some college,0,0,South,not in labor force,employed,FALSE,metropolitan,FALSE,222
20070201071752,2007,46,female,white,75000,married,Some college,2,11,South,not in labor force,not employed,FALSE,non-metropolitan,FALSE,223
20070303072369,2007,17,male,white,50000,not married,Did not graduate from HS,2,15,Midwest,unemployed - looking,"NA",TRUE,metropolitan,FALSE,224
20070505071756,2007,76,male,white,30000,married,HS,0,0,Northeast,not in labor force,not employed,FALSE,metropolitan,FALSE,225
20070605072023,2007,24,male,white,30000,married,Did not graduate from HS,1,1,Northeast,employed - at work,not employed,FALSE,non-metropolitan,FALSE,226
